,地震編號,臺灣時間,Longitude,Latitude,magnitude,depth,震央位置
53,小區域,2月05日02時40分,121.68,24.15,3.8,13.8,花蓮縣政府北偏東方  18.2  公里 (位於花蓮縣近海)
54,小區域,2月05日02時44分,121.66,24.12,3.3,11.6,花蓮縣政府北偏東方  15.5  公里 (位於花蓮縣近海)
55,小區域,2月05日03時05分,121.67,24.14,3.8,10.8,花蓮縣政府北偏東方  16.8  公里 (位於花蓮縣近海)
56,小區域,2月05日03時39分,121.71,24.19,3.6,10.4,花蓮縣政府北偏東方  24.0  公里 (位於花蓮縣近海)
57,小區域,2月05日03時55分,121.71,24.18,3.6,12.2,花蓮縣政府北偏東方  23.1  公里 (位於花蓮縣近海)
58,小區域,2月05日04時58分,121.7,24.26,3.8,12.1,花蓮縣政府北偏東方  31.1  公里 (位於花蓮縣秀林鄉)
59,小區域,2月05日07時44分,121.74,24.19,3.9,15.2,花蓮縣政府北偏東方  25.3  公里 (位於花蓮縣近海)
60,小區域,2月05日08時40分,121.68,24.12,3.4,8.2,花蓮縣政府北偏東方  15.7  公里 (位於花蓮縣近海)
61,小區域,2月05日09時02分,121.65,24.14,3.4,11.4,花蓮縣政府北方  16.3  公里 (位於花蓮縣秀林鄉)
62,小區域,2月05日09時45分,120.24,23.18,3.6,18.3,臺南市政府北偏東方  21.3  公里 (位於臺南市麻豆區)
63,小區域,2月05日09時57分,121.7,24.22,4.1,11.1,花蓮縣政府北偏東方  27.2  公里 (位於花蓮縣近海)
64,小區域,2月05日10時02分,121.69,24.22,3.3,9.3,花蓮縣政府北偏東方  26.0  公里 (位於花蓮縣近海)
65,小區域,2月05日10時58分,121.75,24.23,3.7,8.1,花蓮縣政府北偏東方  29.8  公里 (位於花蓮縣近海)
66,小區域,2月05日11時21分,121.68,24.12,3.4,10.6,花蓮縣政府北偏東方  15.5  公里 (位於花蓮縣近海)
67,小區域,2月05日11時47分,121.74,24.24,3.6,11.7,花蓮縣政府北偏東方  29.8  公里 (位於花蓮縣近海)
68,第015號,2月05日11時55分,121.73,24.24,4.1,12.1,花蓮縣政府北偏東方  30.1  公里 (位於花蓮縣近海)
69,小區域,2月05日12時03分,121.72,24.24,3.4,11.2,花蓮縣政府北偏東方  29.4  公里 (位於花蓮縣近海)
70,小區域,2月05日12時13分,121.67,24.23,3.5,13.6,花蓮縣政府北偏東方  26.5  公里 (位於花蓮縣秀林鄉)
71,第016號,2月05日12時36分,121.7,24.2,4.2,18,花蓮縣政府北偏東方  24.5  公里 (位於花蓮縣近海)
72,小區域,2月05日13時38分,121.81,24.2,3.7,12.3,花蓮縣政府東北方  30.6  公里 (位於臺灣東部海域)
73,小區域,2月05日14時35分,121.76,24.22,3.7,13.4,花蓮縣政府北偏東方  29.0  公里 (位於花蓮縣近海)
74,小區域,2月05日14時36分,121.75,24.23,3.7,11.1,花蓮縣政府北偏東方  29.4  公里 (位於花蓮縣近海)
